t,tempA_mod,tempB_mod
6916.42,3.83553,0.559304
6927.36,3.81877,0.558787
6938.31,3.80209,0.558274
6949.25,3.78549,0.557766
6960.19,3.76895,0.557263
6971.14,3.75249,0.556764
6982.08,3.7361,0.556269
6993.02,3.71978,0.555778
7003.97,3.70353,0.555292
7014.91,3.68735,0.55481
7025.86,3.67125,0.554332
7036.8,3.65521,0.553859
7047.74,3.63925,0.553389
7058.69,3.62335,0.552924
7069.63,3.60752,0.552463
7080.57,3.59177,0.552005
7091.52,3.57608,0.551552
7102.46,3.56046,0.551103
7113.41,3.54491,0.550657
7124.35,3.52942,0.550216
7135.29,3.51401,0.549778
7146.24,3.49866,0.549344
7157.18,3.48338,0.548914
7168.12,3.46816,0.548488
7179.07,3.45301,0.548065
7190.01,3.43793,0.547646
7200.95,3.42291,0.547231
7211.9,3.40796,0.546819
7222.84,3.39308,0.546411
7233.79,3.37826,0.546006
7244.73,3.3635,0.545605
7255.67,3.34881,0.545208
7266.62,3.33418,0.544814
7277.56,3.31962,0.544423
7288.5,3.30512,0.544036
7299.45,3.29068,0.543652
7310.39,3.27631,0.543271
7321.34,3.262,0.542894
7332.28,3.24775,0.54252
7343.22,3.23356,0.54215
7354.17,3.21944,0.541782
7365.11,3.20538,0.541418
7376.05,3.19138,0.541057
7387,3.17744,0.540699
7397.94,3.16356,0.540344
7408.88,3.14974,0.539993
7419.83,3.13598,0.539644
7430.77,3.12228,0.539299
7441.72,3.10865,0.538956
7452.66,3.09507,0.538616
7463.6,3.08155,0.53828
7474.55,3.06809,0.537946
7485.49,3.05469,0.537615
7496.43,3.04135,0.537287
7507.38,3.02806,0.536962
7518.32,3.01484,0.53664
7529.27,3.00167,0.536321
7540.21,2.98856,0.536004
7551.15,2.9755,0.53569
7562.1,2.9625,0.535379
7573.04,2.94957,0.535071
7583.98,2.93668,0.534765
7594.93,2.92385,0.534462
7605.87,2.91108,0.534162
7616.82,2.89837,0.533864
7627.76,2.88571,0.533569
7638.7,2.8731,0.533276
7649.65,2.86055,0.532986
7660.59,2.84806,0.532699
